"3","CFM APD (LOE)","2","Atenció a persones en situació de dependència","Atención a personas en situación de dependencia"
"4","CFM FARMACIA (LOE)","6","Farmàcia i parafarmàcia","Farmacia y parafarmacia"
"8","CFM CAE (LOGSE)","6","Cures auxiliares d'infermeria","Cuidados auxiliares de enfermería"
"12","CFM CUINA (LOE)","10","Cuina i gastronomia","Cocina y gastronomía"
"16","CFM ESTÈTICA I BELL. (LOE)","3","Estètica i bellesa","Estética y belleza"
"18","CFM GESTIÓ ADMVA. (LOE)","5","Gestió administrativa","Gestión administrativa"
"20","CFM PERRUQUERIA (LOE)","3","Perruqueria i cosmètica capilar","Peluquería y cosmética capilar"
"22","CFM SERV. RESTAURACIÓ (LOE)","10","Servicis en restauració","Servicios en restauración"
"24","CFM SMX  (LOE)","24","Sistemes microinformàtics i xarxes","Sistemas microinformáticos y redes"
"28","CFS ADM. I FINANC. (LOE)","5","Administració i finances","Administración y finanzas"
"29","CFS ASSISTENCIA A LA DIRECCIÓ (LOE)","5","Assitència a la direcció","Asistencia a la dirección"
"30","CFS ASIX (LOE)","24","Administració de sistemes informàtics en xarxa","Administración de sistemas informáticos en red"
"32","CFS DAM (LOE)","24","Desenrotllament d'aplicacions multiplataforma","Desarrollo de aplicaciones multiplataforma"
"35","CFS DAW (LOE)","24","Desenrotllament d'aplicacions web","Desarrollo de aplicaciones  web"
"36","CFS DIREC. CUINA (LOE)","10","Direcció de cuina","Dirección de cocina"
"38","CFS DIREC.RESTAURACIÓ (LOE)","10","Direcció en servicis de restauració","Dirección en servicios de restauración"
"39","CFS EDUC.INFANTIL (LOE)","2","Educació infantil","Educación infantil"
"42","CFS ESTET.INTEG. (LOE)","3","Estètica integral i benestar","Estética integral y bienestar"
"44","CFS INTEGR.SOCIAL (LOE)","2","Integració Social","Integración Social"
"45","CFS LABORATORI (LOE)","6","Laboratori clínic i biomèdic","Laboratorio clinico y biomédico"
"51","CFS RXMN (LOE)","6","Imatge per al diagnòtic i medicina nuclear","Imagen para el diagnóstico y medicina nuclear"
"54","CFS SALUT AMBIENTAL (LOGSE)","6","Salut ambiental","Salud ambiental"
"56","CFS TASOCIT (LOE)","2","Animació Sociocultural i turística","Animación Sociocultural y turística"
"57","TPB Perruqueria i Estética","3","FP Bàsica Perruqueria i Estètica","FP Básica Peluqueria i Estética"
"58","CFS QUIMICA I SALUT AMBIENTAL","25","Química i Salut Ambiental","Química i Salut Ambiental"
"59","MASTER CIBERSEGURETAT","24","Curs d'EspecialiTzació en Ciberseguretat en Entorns de les Tecnologies de la Información","Curso de Especialización en Ciberseguridad en Entornos de las Tecnologías de la Información"
